metric,group_1,group_2,U,p_raw,rank_biserial,p_holm
total_clicks,Distinction,Pass,21972118.5,0.0,0.175619,0.0
total_clicks,Distinction,Fail,15848896.0,0.0,0.488085,0.0
total_clicks,Distinction,Withdrawn,10583833.0,0.0,0.37011,0.0
total_clicks,Pass,Fail,58907615.0,0.0,0.353096,0.0
total_clicks,Pass,Withdrawn,38337219.0,0.0,0.214119,0.0
total_clicks,Fail,Withdrawn,15246613.0,0.0,-0.152679,0.0
n_active_days,Distinction,Pass,21915495.0,0.0,0.172589,0.0
n_active_days,Distinction,Fail,16019043.5,0.0,0.504061,0.0
n_active_days,Distinction,Withdrawn,10574107.5,0.0,0.368851,0.0
n_active_days,Pass,Fail,59628125.5,0.0,0.369646,0.0
n_active_days,Pass,Withdrawn,38320707.5,0.0,0.213596,0.0
n_active_days,Fail,Withdrawn,14968393.0,0.0,-0.168141,0.0
early_late_ratio,Distinction,Pass,20357209.5,0.0,0.089213,0.0
early_late_ratio,Distinction,Fail,11851482.5,0.0,0.11276,0.0
early_late_ratio,Distinction,Withdrawn,8563519.0,0.0,0.108574,0.0
early_late_ratio,Pass,Fail,44889563.0,0.000308,0.031104,0.000923
early_late_ratio,Pass,Withdrawn,32396966.5,0.006791,0.025994,0.013583
early_late_ratio,Fail,Withdrawn,17924026.0,0.714342,-0.003883,0.714342
avg_assessment_score,Distinction,Pass,22835271.5,0.0,0.221802,0.0
avg_assessment_score,Distinction,Fail,15170792.0,0.0,0.424417,0.0
avg_assessment_score,Distinction,Withdrawn,10786212.5,0.0,0.396308,0.0
avg_assessment_score,Pass,Fail,56345155.0,0.0,0.294236,0.0
avg_assessment_score,Pass,Withdrawn,39776703.5,0.0,0.259706,0.0
avg_assessment_score,Fail,Withdrawn,17263832.5,9.9e-05,-0.040573,9.9e-05
