task,cutoff_day,n_eligible,model,accuracy_mean,accuracy_sd,macro_f1_mean,macro_f1_sd,majority_baseline,roc_auc_mean,roc_auc_sd
binary_at_risk,14,28119,LogisticRegression,0.6534,0.0037,0.6525,0.0039,0.5471,0.7094,0.0047
binary_at_risk,14,28119,RandomForest,0.6632,0.0041,0.658,0.0044,0.5471,0.7181,0.0043
binary_at_risk,28,27538,LogisticRegression,0.6765,0.0048,0.6745,0.0045,0.5587,0.7373,0.0048
binary_at_risk,28,27538,RandomForest,0.7066,0.0041,0.6983,0.004,0.5587,0.7677,0.0035
binary_at_risk,42,27024,LogisticRegression,0.6911,0.0059,0.6874,0.0059,0.5693,0.7583,0.0068
binary_at_risk,42,27024,RandomForest,0.7248,0.0051,0.7156,0.0054,0.5693,0.7885,0.0067
binary_at_risk,56,26522,LogisticRegression,0.718,0.0056,0.7124,0.0051,0.5801,0.7892,0.0044
binary_at_risk,56,26522,RandomForest,0.7557,0.0046,0.7452,0.0048,0.5801,0.817,0.0048
binary_at_risk,84,25724,LogisticRegression,0.7476,0.004,0.7375,0.0034,0.5981,0.819,0.0033
binary_at_risk,84,25724,RandomForest,0.7771,0.0026,0.7624,0.0025,0.5981,0.8423,0.004
multiclass,14,28119,LogisticRegression,0.3299,0.0058,0.327,0.0057,0.4396,,
multiclass,14,28119,RandomForest,0.4354,0.0053,0.3679,0.0054,0.4396,,
multiclass,28,27538,LogisticRegression,0.377,0.0073,0.3733,0.0072,0.4489,,
multiclass,28,27538,RandomForest,0.4933,0.003,0.4257,0.0066,0.4489,,
multiclass,42,27024,LogisticRegression,0.3995,0.0036,0.3911,0.0038,0.4574,,
multiclass,42,27024,RandomForest,0.5137,0.0083,0.4423,0.0082,0.4574,,
multiclass,56,26522,LogisticRegression,0.4284,0.0043,0.4149,0.0044,0.4661,,
multiclass,56,26522,RandomForest,0.5411,0.005,0.463,0.0064,0.4661,,
multiclass,84,25724,LogisticRegression,0.4523,0.0069,0.4322,0.0078,0.4805,,
multiclass,84,25724,RandomForest,0.582,0.0101,0.4866,0.013,0.4805,,
