feature,importance
avg_assessment_score,0.1456
clicks_early,0.0834
total_clicks,0.0796
n_active_days,0.0704
weighted_score_sum,0.0681
avg_clicks_per_active_day,0.0647
clicks_late,0.0632
date_registration,0.0632
early_late_ratio,0.0611
n_unique_resources,0.061
imd_band,0.0462
studied_credits,0.0458
region,0.0397
highest_education,0.0344
n_late_submissions,0.0144
gender,0.0142
n_assessments_submitted,0.012
age_band,0.0108
num_of_prev_attempts,0.0105
has_submissions,0.0064
disability,0.005
